trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
USD_CAD_139,USD_CAD,bullish,2023-04-20 21:00:00,2023-05-02 09:00:00,1.35154784,1.35791,SAFETY_DAILY_DD_5.1%,0.48,902.34,1.92,336.3603795401568,334.4403795401568,0.37276456716997675,1.188,1.98,True,False,False
USD_CAD_143,USD_CAD,bullish,2023-04-24 21:00:00,2023-05-02 09:00:00,1.35804302,1.35791,SAFETY_DAILY_DD_5.1%,0.39,893.13,1.56,-3.8200415892813537,-5.380041589281354,-0.004277139486168143,1.188,1.98,False,False,False
CAD_JPY_145,CAD_JPY,bullish,2023-04-24 21:00:00,2023-05-02 09:00:00,98.621946,101.196,SAFETY_DAILY_DD_5.1%,0.01,1617.5,0.04,1889.3635455801316,1889.3235455801316,1.1680763805750427,1.188,1.98,True,True,False
NAS100_USD_146,NAS100_USD,bullish,2023-04-25 00:00:00,2023-05-02 09:00:00,12922.7615,13242.6,SAFETY_DAILY_DD_5.1%,2.37,903.14,0.0,682.3697689568457,682.3697689568457,0.7555525931271406,1.188,1.98,True,False,False
AUD_NZD_147,AUD_NZD,bullish,2023-04-26 21:00:00,2023-05-02 09:00:00,1.07557088,1.08052,SAFETY_DAILY_DD_5.1%,0.71,944.96,2.84,351.38913640295186,348.5491364029519,0.3718560959225278,1.188,1.98,False,False,False
CHF_JPY_149,CHF_JPY,bullish,2023-04-27 21:00:00,2023-05-02 09:00:00,150.661782,152.878,SAFETY_DAILY_DD_5.1%,0.01,2053.45,0.04,1920.1087917901405,1920.0687917901405,0.9350647893983981,1.188,1.98,True,True,False
EUR_JPY_150,EUR_JPY,bullish,2023-04-27 21:00:00,2023-05-02 09:00:00,148.027532,150.538,SAFETY_DAILY_DD_5.1%,0.01,2339.37,0.04,2180.942034209101,2180.902034209101,0.9322775081364219,1.188,1.98,True,True,False
GBP_JPY_151,GBP_JPY,bullish,2023-04-27 21:00:00,2023-05-02 09:00:00,167.94394,171.25,SAFETY_DAILY_DD_5.1%,0.01,3213.27,0.04,2930.9501935736635,2930.9101935736635,0.9121394073867628,1.188,1.98,True,True,False
NZD_CHF_152,NZD_CHF,bearish,2023-04-27 21:00:00,2023-05-02 09:00:00,0.55207868,0.55658,SAFETY_DAILY_DD_5.1%,1.4,958.51,5.6,-630.1819463624431,-635.7819463624431,-0.6574599601072948,1.188,1.98,False,False,False
NZD_CAD_156,NZD_CAD,bullish,2023-04-27 21:00:00,2023-05-02 09:00:00,0.84014278,0.84046,SAFETY_DAILY_DD_5.1%,0.55,957.57,2.2,17.44707551950429,15.247075519504289,0.018220156771311013,1.188,1.98,False,False,False
AUD_NZD_157,AUD_NZD,bearish,2023-04-27 21:00:00,2023-05-02 09:00:00,1.07237964,1.08052,SAFETY_DAILY_DD_5.1%,0.41,959.81,1.64,-333.75417114983776,-335.39417114983775,-0.3477294163947425,1.188,1.98,False,False,False
GBP_NZD_158,GBP_NZD,bullish,2023-05-01 21:00:00,2023-05-02 09:00:00,2.00862,2.01342,SAFETY_DAILY_DD_5.1%,0.31,983.8,1.24,148.8005773432994,147.5605773432994,0.15125084096696423,1.188,1.98,False,False,False
CHF_JPY_159,CHF_JPY,bullish,2023-05-01 21:00:00,2023-05-02 09:00:00,152.975,152.878,SAFETY_DAILY_DD_5.1%,0.01,4456.96,0.04,-97.0000790030006,-97.0400790030006,-0.021763731108872548,1.188,1.98,False,False,False
EUR_NZD_160,EUR_NZD,bullish,2023-05-01 21:00:00,2023-05-02 09:00:00,1.77371616,1.76958,SAFETY_DAILY_DD_5.1%,0.37,991.44,1.48,-153.03749847468123,-154.51749847468122,-0.15435880988731665,1.188,1.98,False,False,False
AUD_CHF_161,AUD_CHF,bearish,2023-05-01 21:00:00,2023-05-02 09:00:00,0.59746246,0.6014,SAFETY_DAILY_DD_5.1%,1.18,977.68,4.72,-464.6278476764877,-469.34784767648773,-0.47523509499681665,1.188,1.98,False,False,False
EUR_AUD_165,EUR_AUD,bullish,2023-05-01 21:00:00,2023-05-02 09:00:00,1.64418382,1.63772,SAFETY_DAILY_DD_5.1%,0.41,987.0,1.64,-265.0153676592577,-266.6553676592577,-0.26850594494352353,1.188,1.98,False,False,False
EUR_CHF_177,EUR_CHF,bearish,2023-05-04 21:00:00,2023-05-05 08:00:00,0.98232586,0.98359,TP1+Trail,1.46,959.88,5.84,201.57479999999998,195.73479999999998,0.21,0.99,1.6500000000000001,True,False,False
EUR_CHF_178,EUR_CHF,bearish,2023-05-04 21:00:00,2023-05-05 08:00:00,0.98154,0.98359,TP1+Trail,1.27,956.35,5.08,200.8335,195.75349999999997,0.21,0.99,1.6500000000000001,True,False,False
USD_CHF_181,USD_CHF,bearish,2023-05-04 21:00:00,2023-05-05 08:00:00,0.89081,0.89186,TP1+Trail,0.72,953.47,2.88,200.2287,197.3487,0.21,0.99,1.6500000000000001,True,False,False
CAD_CHF_184,CAD_CHF,bearish,2023-05-04 21:00:00,2023-05-05 08:00:00,0.66522308,0.66066,TP2+Trail,1.06,955.42,4.24,685.0361400000021,680.7961400000021,0.7170000000000022,0.99,1.6500000000000001,True,True,False
EUR_CAD_175,EUR_CAD,bullish,2023-05-04 21:00:00,2023-05-05 12:00:00,1.47946624,1.47881,TP1+Trail,0.46,962.51,1.84,202.12709999999998,200.28709999999998,0.21,0.99,1.6500000000000001,True,False,False
USD_CHF_180,USD_CHF,bearish,2023-05-04 21:00:00,2023-05-05 12:00:00,0.89374416,0.89564,TP1+Trail,0.91,956.88,3.64,200.9448,197.3048,0.21,0.99,1.6500000000000001,True,False,False
XAG_USD_185,XAG_USD,bullish,2023-05-05 00:00:00,2023-05-05 13:00:00,25.367559894561765,25.254,TP1+Trail,0.19,945.45,0.76,198.5445,197.7845,0.21,0.99,1.6500000000000001,True,False,False
AUD_JPY_173,AUD_JPY,bearish,2023-05-03 21:00:00,2023-05-05 14:00:00,89.787908,90.934,SL,0.01,1198.17,0.04,-1198.17,-1198.21,-1.0,0.99,1.6500000000000001,False,False,False
GBP_CAD_183,GBP_CAD,bullish,2023-05-04 21:00:00,2023-05-05 20:00:00,1.68939,1.68939,TP1+Trail,0.43,963.96,1.72,202.4316,200.7116,0.21,0.99,1.6500000000000001,True,False,False
USD_CAD_182,USD_CAD,bullish,2023-05-04 21:00:00,2023-05-08 11:00:00,1.34701348,1.33356,SL,0.95,957.46,3.8,-957.46,-961.26,-1.0,0.99,1.6500000000000001,False,False,False
CHF_JPY_176,CHF_JPY,bullish,2023-05-04 21:00:00,2023-05-10 16:00:00,150.814798,150.824,TP1+Trail,0.01,2445.74,0.04,513.6053999999999,513.5654,0.21,0.99,1.6500000000000001,True,False,False
AUD_JPY_174,AUD_JPY,bullish,2023-05-03 21:00:00,2023-05-11 11:00:00,89.346754,90.33,TP2+Trail,0.01,1883.08,0.04,1350.1683599999972,1350.1283599999972,0.7169999999999985,0.99,1.6500000000000001,True,True,False
GBP_JPY_172,GBP_JPY,bullish,2023-05-03 21:00:00,2023-05-11 13:00:00,168.191858,167.972,TP1+Trail,0.01,3071.79,0.04,645.0758999999999,645.0359,0.21,0.99,1.6500000000000001,True,False,False
XAG_USD_188,XAG_USD,bullish,2023-05-10 00:00:00,2023-05-11 13:00:00,25.461000442504883,24.3182,SL,0.18,978.93,0.72,-978.93,-979.65,-1.0,0.99,1.6500000000000001,False,False,False
GBP_USD_191,GBP_USD,bullish,2023-05-10 21:00:00,2023-05-11 13:00:00,1.25122,1.25088,TP1+Trail,0.67,1006.1,2.68,211.281,208.601,0.21,1.0398,1.733,True,False,False
BTC_USD_187,BTC_USD,bullish,2023-05-10 00:00:00,2023-05-12 02:00:00,27861.663390625,26658.2,SL,0.8,952.22,0.0,-952.22,-952.22,-1.0,0.99,1.6500000000000001,False,False,False
USD_CAD_190,USD_CAD,bullish,2023-05-10 21:00:00,2023-05-15 16:00:00,1.34701348,1.34614,TP1+Trail,1.0,1012.74,4.0,212.6754,208.6754,0.21,1.0398,1.733,True,False,False
EUR_USD_193,EUR_USD,bullish,2023-05-11 21:00:00,2023-05-17 12:00:00,1.0930234,1.0824,SL,0.9,1022.56,3.6,-1022.56,-1026.1599999999999,-1.0,1.0398,1.733,False,False,False
