date,balance,equity,daily_hwm,open_trades,trading_halted
2023-01-05,60000.0,60058.529855979774,60000.0,1,False
2023-01-06,60000.0,59830.63696913125,60058.529855979774,2,False
2023-01-08,60000.0,59788.529278822774,60000.0,2,False
2023-01-09,60000.0,59682.979014223136,60000.0,3,False
2023-01-10,60113.4672,59860.000304043984,60000.0,2,False
2023-01-11,60113.4672,60066.75020414064,60113.4672,2,False
2023-01-12,60113.4672,59951.63118766784,60113.4672,3,False
2023-01-13,60229.0686,59821.83556604862,60113.4672,3,False
2023-01-15,60229.0686,59808.216520731294,60229.0686,3,False
2023-01-16,59683.4786,59736.01813628158,60229.0686,2,False
2023-01-17,59683.4786,59698.381120128135,59736.01813628158,2,False
2023-01-18,59683.4786,59636.06653097177,59698.381120128135,2,False
2023-01-19,59683.4786,59626.66510264762,59683.4786,2,False
2023-01-20,59683.4786,59608.72235498059,59683.4786,2,False
2023-01-22,59683.4786,59610.11127327733,59683.4786,2,False
2023-01-23,59683.4786,59560.86233629488,59683.4786,2,False
2023-01-24,59683.4786,59672.61575507074,59683.4786,4,False
2023-01-25,59683.4786,60110.907564490364,59683.4786,4,False
2023-01-26,60066.05246,60093.71493779594,60110.907564490364,3,False
2023-01-27,60180.87466,59900.66607763802,60093.71493779594,2,False
2023-01-29,60180.87466,60165.93129779113,60180.87466,4,False
2023-01-30,60180.87466,59634.917337448795,60180.87466,5,False
2023-01-31,60180.87466,59841.10775156116,60180.87466,6,False
2023-02-01,59615.30466,60515.931167990595,60180.87466,6,False
2023-02-02,59727.30496,60431.677677575455,60515.931167990595,6,False
2023-02-03,59844.84436,60519.73008370825,60431.677677575455,6,False
2023-02-05,59844.84436,60137.57590521574,60519.73008370825,7,False
2023-02-06,60095.10556,60115.443675065704,60137.57590521574,5,False
2023-02-07,60095.10556,60739.845725440995,60115.443675065704,5,False
2023-02-08,60095.10556,60361.927778123696,60739.845725440995,5,False
2023-02-09,60219.46336,59587.038884247086,60361.927778123696,5,False
2023-02-10,60219.46336,59514.62953213669,60219.46336,6,False
2023-02-12,60219.46336,59614.21589513929,60219.46336,6,False
2023-02-13,60219.46336,59966.53276972298,60219.46336,6,False
2023-02-14,60219.46336,60177.60432841014,60219.46336,6,False
2023-02-15,60219.46336,61383.958642273865,60219.46336,7,False
2023-02-16,59569.67336,60437.11794880259,61383.958642273865,7,False
2023-02-17,59569.67336,60865.142050709954,60437.11794880259,7,False
2023-02-19,59569.67336,60739.45770742734,60865.142050709954,7,False
2023-02-20,59569.67336,60919.99793033629,60739.45770742734,7,False
2023-02-21,59569.67336,60521.95775163005,60919.99793033629,8,False
2023-02-22,59569.67336,60506.1737756153,60521.95775163005,8,False
2023-02-23,59569.67336,60460.46856230828,60506.1737756153,9,False
2023-02-24,60057.25976,60207.080114739976,60460.46856230828,6,False
2023-02-26,60057.25976,60462.25010441793,60207.080114739976,7,False
2023-02-27,60057.25976,60433.032772886276,60462.25010441793,7,False
2023-02-28,60057.25976,60227.461528027394,60433.032772886276,7,False
2023-03-01,60057.25976,60091.42385435507,60227.461528027394,7,False
2023-03-02,60936.14116,60639.47585433066,60091.42385435507,6,False
2023-03-03,61072.24846,61472.084223863385,60936.14116,6,False
2023-03-05,61072.24846,61397.2308147341,61472.084223863385,6,False
2023-03-06,61072.24846,61554.497304434604,61397.2308147341,6,False
2023-03-07,61072.24846,61414.03604804886,61554.497304434604,6,False
2023-03-08,61072.24846,61628.1897367238,61414.03604804886,6,False
2023-03-09,61072.24846,60765.89561334806,61628.1897367238,6,False
2023-03-10,60551.51946,60324.7790364332,61072.24846,4,False
2023-03-12,60006.099460000005,64467.00834966191,60551.51946,17,False
2023-03-13,60811.68284087922,60811.68284087922,60811.68284087922,0,True
2023-03-14,60203.54284087922,66210.71767398085,60811.68284087922,19,False
2023-03-15,68302.59108087923,68638.19615977113,66210.71767398085,3,False
2023-03-16,68427.96768087923,68881.81747867807,68638.19615977113,8,False
2023-03-17,68763.39408087922,68006.87251829296,68881.81747867807,7,False
2023-03-19,68763.39408087922,68571.2969248747,68763.39408087922,10,False
2023-03-20,66303.55728087923,66895.26522665886,68763.39408087922,12,False
2023-03-21,67130.72655087923,69208.58236706785,66895.26522665886,11,False
2023-03-22,67517.99585087923,68923.76239810839,69208.58236706785,12,False
2023-03-23,67683.45765087924,66457.99902724767,68923.76239810839,14,False
2023-03-24,65140.93701174857,65140.93701174857,65140.93701174857,0,True
2023-03-26,65140.93701174857,63990.42897627026,65140.93701174857,2,False
2023-03-27,66013.83373174857,65569.13434573614,65140.93701174857,3,False
2023-03-28,66013.83373174857,70736.28941539359,66013.83373174857,11,False
2023-03-29,67830.80583174857,71505.79105650165,70736.28941539359,9,False
2023-03-30,67830.80583174857,73311.68445186879,71505.79105650165,11,False
2023-03-31,72072.67579142004,72072.67579142004,72072.67579142004,0,True
2023-04-02,71316.55579142005,72223.68721207585,72072.67579142004,3,False
2023-04-03,71628.07869142004,72190.19662626558,72223.68721207585,2,False
2023-04-04,72638.81043142005,74433.46560774469,72190.19662626558,5,False
2023-04-05,73113.54463142005,73854.18608390137,74433.46560774469,4,False
2023-04-06,73701.70246142005,74465.10300958634,73854.18608390137,4,False
2023-04-07,73701.70246142005,74270.03842759535,74465.10300958634,5,False
2023-04-09,73701.70246142005,73923.34833813002,74270.03842759535,8,False
2023-04-10,72132.01806142004,72806.1164220145,73923.34833813002,9,False
2023-04-11,72313.22646142004,74253.67603439589,72806.1164220145,9,False
2023-04-12,72313.22646142004,76215.81005420696,74253.67603439589,15,False
2023-04-13,74494.49159142004,76460.76737263906,76215.81005420696,12,False
2023-04-14,75027.87029142004,77526.7781422869,76460.76737263906,9,False
2023-04-16,75027.87029142004,78218.94891471737,77526.7781422869,11,False
2023-04-17,75027.87029142004,77165.92286886761,78218.94891471737,11,False
2023-04-18,75027.87029142004,77232.42149673286,77165.92286886761,13,False
2023-04-19,75715.51059142002,77154.2622923323,77232.42149673286,12,False
2023-04-20,75897.44829142002,76915.81971862886,77154.2622923323,16,False
2023-04-21,75897.44829142002,80116.48445243573,76915.81971862886,16,False
2023-04-23,75897.44829142002,80351.61510952687,80116.48445243573,16,False
2023-04-24,75897.44829142002,82522.78056049686,80351.61510952687,19,False
2023-04-25,76185.86639142002,80172.02407023922,82522.78056049686,19,False
2023-04-26,79833.77749142001,83090.91807660369,80172.02407023922,17,False
2023-04-27,80844.38152142003,81788.64268260628,83090.91807660369,24,False
2023-04-28,81610.23912142003,90523.11094041735,81788.64268260628,20,False
2023-04-30,81610.23912142003,90872.6450552812,90523.11094041735,20,False
2023-05-01,82478.90239142004,95577.6388695625,90872.6450552812,27,False
2023-05-02,96824.11416740129,96824.11416740129,96824.11416740129,0,True
2023-05-03,96824.11416740129,98786.21395681545,96824.11416740129,4,False
2023-05-04,96824.11416740129,102377.7125318401,98786.21395681545,14,False
2023-05-05,97691.6253074013,100168.20514165083,102377.7125318401,6,False
2023-05-07,97691.6253074013,101438.22149872714,100168.20514165083,7,False
2023-05-08,96730.3653074013,100292.6866280509,101438.22149872714,6,False
2023-05-09,96730.3653074013,100610.42867170836,100292.6866280509,6,False
2023-05-10,97243.9307074013,97341.73988526432,100610.42867170836,10,False
2023-05-11,98468.04596740131,96120.3309755075,97341.73988526432,10,False
2023-05-12,97515.82596740131,96141.34319846702,98468.04596740131,9,False
2023-05-14,97515.82596740131,96080.45017423695,97515.82596740131,11,False
2023-05-15,97724.5013674013,97018.01335586353,97515.82596740131,10,False
